title,views,likes,dislikes
Bombay Velvet,6683209.0,15334.0,5921.0
Boyhood,62522.0,97.0,9.0
Breathless,61020.0,28.0,4.0
Bride Wars,504909.0,830.0,31.0
Bright Star,124848.0,445.0,7.0
Broken City,374983.25,174.5,9.75
Broken Embraces,244883.0,232.0,6.0
Brooklyn,4113577.0,8895.0,236.0
Brothers,12528499.0,59753.0,4586.0
Bullet to the Head,92558.0,262.0,21.5
Bullhead,261785.0,153.0,12.0
Bully,1483681.0,6722.0,442.0
Buried,22873.0,16.0,5.0
Burlesque,2686583.0,6975.0,197.0
Byzantium,1335046.0,2532.0,208.0
CBGB,178464.0,1350.0,45.0
CHiPS,3615299.0,6248.5,885.5
Cake,5270164.0,10661.0,534.0
Call Me by Your Name,2182673.3333333335,14497.666666666666,1477.3333333333333
Camille Claudel 1915,5214.0,5.0,0.0
Captain Fantastic,267630.0,241.0,24.0
Captain Phillips,317881.25,906.0,35.75
Captive,36.0,0.0,0.0
Capture the Flag,123967.0,377.0,70.0
Carlos,13619.0,55.0,2.0
Carnage,633092.0,674.0,107.0
Carol,540843.6,1539.4,69.6
Cars 2,9712599.333333334,5478.166666666667,1541.5
Cars 3,18503491.0,132635.0,6949.0
Case 39,17686.0,7.0,2.0
Casino Jack,57626.5,22.0,2.5
Cat Run,369376.0,103.0,52.0
Catfish,1244022.0,1721.0,147.0
Central Intelligence,5726319.333333333,21502.333333333332,813.3333333333334
Centurion,4145907.0,1814.0,314.0
Cesar Chavez,2259.0,1.0,0.0
Chalet Girl,1660996.0,3104.0,203.0
Chappie,6840363.666666667,18654.0,882.3333333333334
Chef,2745360.5,5421.0,231.0
Chennai Express,8209982.0,37111.0,5476.0
Cheri,432892.0,320.0,27.0
Chicken with Plums,108265.0,297.0,13.0
Child 44,77974.0,10.0,1.0
Children of the Corn,336115.0,554.0,80.0
Chloe,57214.0,8.0,1.0
Chocolat,15818.0,24.0,2.0
Churchill,630321.5,2680.0,388.0
City Island,170337.0,251.0,12.0
Cloud Atlas,740734.7142857143,1677.5714285714287,87.42857142857143
Clouds of Sils Maria,241589.0,1204.0,26.666666666666668
Cloudy with a Chance of Meatballs,196053.0,130.0,8.0
Cocktail,753682.0,1189.0,106.0
Collateral Beauty,3189554.0,9484.0,418.5
Colombiana,133362.0,229.0,47.0
Conan the Barbarian,2246870.0,2590.0,1237.0
Concussion,5120331.0,6314.25,600.25
Confessions of a Shopaholic,773514.0,923.0,47.0
Confidential Assignment,29120.5,76.0,0.0
Contagion,8278700.0,10710.0,1033.0
Contraband,791327.0,930.0,43.0
Coraline,2997583.0,6402.0,880.0
Coriolanus,1579768.0,2849.0,120.0
Cosmopolis,14441994.0,6836.0,3791.0
Counting,15534.0,78.0,10.0
Country Strong,2142221.0,6986.0,242.5
Couples Retreat,1561214.0,3645.0,118.0
Courageous,2870448.0,7071.0,416.0
Crazy Eyes,27407.0,13.0,2.0
Crazy Heart,2440478.0,2566.0,140.0
Creative Control,83588.0,177.0,15.0
Creed,15019823.0,64101.5,1974.0
Criminal,844165.4,783.4,60.0
Crimson Peak,5369618.0,11546.5,648.5
Crooked Arrows,16845.0,104.0,69.0
Cyrus,4531.0,4.0,0.0
Dallas Buyers Club,879919.0,2092.0,56.0
Dangal,58698371.0,355133.0,34809.0
Danny Collins,2177372.0,3278.0,184.0
Dark Shadows,4578708.0,12134.0,880.0
Dark Skies,6242938.0,9018.0,946.0
Date Night,4389002.0,3833.0,174.0
Daybreakers,428572.0,370.0,20.0
