title, weekend_rev, weekend_rev_mean
8 Seconds,3369037,4029
Above the Rim,3738800,4472
Addams Family Values,14117545,5478
Airheads,1911739,1556
Another Stakeout,5418316,4572
Bad Girls,5012200,2496
Barcelona,102820,25705
Being Human,764011,3410
Black Beauty,1285820,980
Blink,4410077,2888
Blown Away,10424873,5598
Blue Chips,10123605,5112
Blue Sky,763890,3726
Body Snatchers,31494,2422
Boxing Helena,787724,4892
Cabin Boy,1513507,2552
Calendar Girl,1802688,1666
Clean Slate,3136130,2152
Cliffhanger,16176967,6933
Coneheads,7100501,3589
Color of Night,6610488,3799
Dangerous Game,16995,16995
Dave,7306755,6326
Dazed and Confused,918127,5017
Demolition Man,14262432,6350
Even Cowgirls Get the Blues,676978,1270
Fatal Instinct,3502569,1857
Farewell My Concubine,69408,23136
Fearless,144044,24007
Fear of a Black Hat,15191,3038
With Honors,4328543,3927
Flesh and Bone,4517066,3764
For Love or Money,4016220,2470
Free Willy,7868829,5331
Fresh,2921660,7108
Getting Even with Dad,5579480,2853
A Good Man in Africa,1144942,1441
Guilty as Sin,5713708,5047
Hard Target,10106500,5125
House Party 3,6850010,8077
In the Army Now,6367194,4409
In the Line of Fire,15269388,8023
In the Name of the Father,109805,27451
Jimmy Hollywood,1451000,1537
Judgment Night,4088955,2650
Jurassic Park,47026828,19561
Kalifornia,1159133,3228
Killing Zoe,30586,15293
King of the Hill,46476,9295
Lassie,3201843,1793
Last Action Hero,15338241,6651
Life With Mikey,3606279,2640
Lightning Jack,5401743,3158
Made in America,11821326,5772
Malice,9232650,6451
Manhattan Murder Mystery,2015360,7520
Menace II Society,3816393,8224
Executive Decision,12069780,5407
Much Ado About Nothing,108617,36205
Naked,36463,9115
No Escape,4588736,2602
North,3036050,2050
Orlando,107030,35676
Philadelphia,143433,35858
Poetic Justice,11728455,9213
Radioland Murders,835570,990
Renaissance Man,5557590,3150
Rising Sun,15195941,10063
RoboCop 3,4304829,2396
Romeo Is Bleeding,1225737,4962
Romper Stomper,8233,8233
Ruby in Paradise,25297,12648
Rudy,881191,7531
Searching for Bobby Fischer,1121354,5120
Second Best,19190,4797
Serial Mom,2040450,4064
Shadowlands,81082,27027
Sirens,34299,17149
Six Degrees of Separation,53058,26529
Sleepless in Seattle,17253733,10927
Sliver,12138283,5799
Blade Runner,6150002,4749
So I Married an Axe Murderer,3466930,2570
Striking Distance,8705808,4608
Surviving the Game,2907468,2836
Terminal Velocity,5500404,3066
Threesome,4001024,3301
Tombstone,6454752,4291
Trial by Jury,2855852,2038
True Romance,4023420,3208
Chasers,733859,938
Cronos,17538,8769
Little Big League,3105618,2033
Spanking the Monkey,35396,11798
Andre,4020760,2737
Princess Caraboo,1005287,3339
Home Alone,17081997,14211
Ghost,12191540,11073
Aladdin,196664,98332
Dances with Wolves,598257,42732
Batman,40489746,18454
Beauty and the Beast,162146,81073
Pretty Woman,11280591,8513
Bye Bye Love,4523048,3282
One Fine Day,6226430,3199
Century,3535,3535
Fargo,730265,20285
Jane Eyre,269929,7712
Loaded,12071,6035
Two Much,592871,1703
Ed,1910840,1240
Primal Fear,9871222,4977
Carried Away,35416,3935
All Dogs Go to Heaven 2,2256118,1107
Land and Freedom,8144,8144
Denise Calls Up,10006,5003
Frisk,10110,10110
Girl 6,2485764,2308
Diabolique,5524055,3028
Courage Under Fire,12501586,6294
Moll Flanders,955606,3412
DragonHeart,15027150,7055
Eddie,8041972,4043
August,11988,2997
James and the Giant Peach,7539098,3332
Fear,6312240,3985
Faithful,967956,1205
All Things Fair,4530,4530
Tarantella,1403,1403
Space Jam,27528529,10388
Alphaville,7298,7298
Windows,311796,6778
Operation Dumbo Drop,6392155,2980
Solo,2228668,1811
True Crime,5276109,2848
Feeling Minnesota,1598051,1838
Delta of Venus,3750,3750
Angus,1915192,1659
Boys,270107,823
Sunset Park,4705440,3743
Celtic Pride,3809248,2079
Flipper,4209525,1765
Of Love and Shadows,6357,3178
Dead Man,104649,6540
Switchblade Sisters,14532,2076
