title, weekend_rev, weekend_rev_mean
September,85731,5715
Shadows and Fog,1111314,3858
Something Wild,1825717,1997
Things Are Tough All Over,5906708,3896
Kiss Me Deadly,214,214
Popcorn,2563365,2429
Colonel Redl,2357,2357
Outland,3059638,9243
Legally Blonde,20377426,7777
Bully,47502,7917
Jump Tomorrow,33236,4154
Made,118003,39334
1969,1709120,3286
Above the Law,2037938,5822
Apartment Zero,21823,21823
Appointment with Death,603650,1298
Bad Dreams,4008870,3397
Beaches,198361,28337
Big Business,6112577,5237
Big Top Pee-wee,4625004,3682
Biloxi Blues,7093325,5725
Bird,27116,27116
Camille Claudel 1915,5106,5106
Clean and Sober,2205628,3277
Cocktail,11789466,8397
Colors,4747118,11249
Coming to America,21404420,10370
Criminal Law,2636091,2260
Critters,1618800,2997
Critters 2,1898751,1704
Crossing Delancey,46711,46711
Dead Heat,1667036,1647
Dirty Rotten Scoundrels,3840498,2619
Ernest Saves Christmas,5710734,3494
Feds,1388317,1633
For Keeps,4839790,5249
Frantic,4359424,3959
Fresh Horses,3074292,2416
Gorillas in the Mist,366925,24461
Heartbreak Hotel,2063546,1542
High Spirits,3308250,4010
Hot to Trot,2206218,1908
Johnny Be Good,5249388,4494
Lady in White,282652,3140
License to Drive,3850934,3148
Little Nikita,866398,2304
Masquerade,3500259,3398
Moon Over Parador,3268975,2855
Moving,4022782,2865
My Stepmother is an Alien,2066980,1868
Off Limits,2796111,2046
Red Heat,8133822,4315
Return to Snowy River,3023248,2696
Rocket Gibraltar,60523,12104
Running on Empty,215157,9779
Salsa,2627533,2335
Satisfaction,2779275,2738
Shakedown,3017800,1910
Shoot to Kill,5781628,3846
Short Circuit 2,3843067,2855
Short Circuit,5346808,5176
Stormy Monday,44734,22367
Sunset,2031678,1986
Sweet Hearts Dance,1116902,4540
Switching Channels,3121752,3214
They Live,4827903,3300
Torch Song Trilogy,70022,11670
Track 29,19304,9652
Twins,11174980,8005
Vice Versa,4050779,3306
Watchers,260820,1620
Without a Clue,1246772,4452
Young Einstein,3094581,2542
Always,3713480,3655
American Ninja,3234837,4813
Best of the Best 2,2840931,2278
Black Rain,9677102,6010
Blaze,1739701,1913
Blind Fury,868380,2460
Breaking In,679200,1698
Casualties of War,5201261,3497
Chances Are,3664386,4378
Cookie,292483,3566
Cyborg,3179811,3831
Dad,540148,5048
Dead Bang,2847690,2653
Disorganized Crime,2840166,1942
Dream a Little Dream,2568963,2521
Earth Girls Are Easy,892742,2816
Eddie and the Cruisers,1444886,3041
Erik the Viking,68543,3115
Family Business,2130024,1773
Farewell to the King,1150531,1770
Fat Man and Little Boy,1476994,1752
Gleaming the Cube,740780,1589
Gross Anatomy,2830387,3318
Harlem Nights,16096808,7383
Her Alibi,5037047,3524
Immediate Family,1675344,2004
In Country,36505,9126
Jacknife,32597,16298
Johnny Handsome,2437642,3002
Jesus of Montreal,20388,20388
K-9,7471035,4455
Kickboxer,4134098,4248
Last Exit to Brooklyn,186489,14345
Lean On Me,5032605,5629
Let It Ride,1925049,1616
Leviathan,5029164,3610
Little Monsters,253834,1418
Lock Up,6025520,4360
Loverboy,1653102,1518
Major League,8836265,5734
Millennium,1614692,3322
Miracle Mile,341401,2387
Miss Firecracker,45293,7548
New York Stories,432337,36028
Next of Kin,4805516,3538
No Holds Barred,4957052,3761
Old Gringo,1151749,4859
Parents,277952,2956
Pink Cadillac,4408593,2212
Red Scorpion,1972994,1555
Brother,60029,5457
Ghost World,98791,19758
Hedwig and the Angry Inch,156724,17413
Bread and Tulips,32933,32933
Cure,1206415,1450
Greenfingers,65584,7287
Jackpot,806,403
Wet Hot American Summer,17481,8740
Relentless,2838177,3399
Renegades,3075030,1890
Road House,5957656,3091
Romero,10189,5094
Rude Awakening,1121542,1176
Scandal,658660,7007
Sea of Love,10017840,8040
Shirley Valentine,245422,30677
Shocker,4510990,2530
Skin Deep,2460262,5031
Slaves of New York,26118,26118
Some Girls,11704,5852
Sweetie,20403,20403
Tap,2217150,3790
Three Fugitives,6434717,5580
Troop Beverly Hills,2283443,2368
UHF,2251831,1738
Uncle Buck,8794501,4875
Warlock,780360,4510
Worth Winning,1492610,1184
Black Robe,882300,3128
Left Luggage,20011,2858
Orphans,16098,847
Original Sin,6402741,2918
Rush Hour 2,67408222,21619
Thomas in Love,13853,2770
Chocolat,157624,19703
La Cage aux folles,18709,3742
Altered States,174650,58216
Any Which Way You Can,8024663,5207
American Pie 2,45117985,14729
Osmosis Jones,5271248,2286
American Outlaws,4855475,2067
All Over the Guy,41606,5943
Session 9,76493,2549
Rat Race,11662094,4573
Aberdeen,5065,5065
Bubble Boy,2038349,1269
Ghosts of Mars,3804452,1857
Summer Catch,7018593,3005
Happy Accidents,95508,3979
Maybe Baby,8351,4175
Together,45848,22924
Punks,14250,14250
Tortilla Soup,653729,3236
Jeepers Creepers,13106108,4451
O,5655658,3943
Waking Up in Reno,108930,552
Speedway Junky,6900,6900
3 Ninjas,5888920,3079
3 Ninjas Kick Back,3556310,1745
3 Ninjas Knuckle Up,67789,1303
Vamp,2187458,1981
Rock Star,6018636,2383
Soul Survivors,1140698,1898
Two Can Play That Game,7720942,5952
Diamond Men,14749,4916
Hardball,9386342,4392
Dinner Rush,110000,2115
Haiku Tunnel,43695,3121
Big Trouble,3545204,1807
Glitter,2414596,2008
Training Day,22550788,8315
Children Underground,3075,3075
Liam,44399,6342
Sidewalks of New York,545132,5506
Little Man Tate,230106,32872
Spring Break,5908574,3957
Silkwood,1218322,4740
SpaceCamp,2918072,2980
Hearts in Atlantis,9021494,5152
Zoolander,15525043,6192
Born Romantic,8477,1211
Extreme Days,522813,1489
Joy Ride,7347259,2942
Serendipity,13309241,5116
Brubaker,2748079,4626
Divine Madness,769787,6061
Bandits,13050700,4069
Iron Monkey,6014653,4909
Fat Girl,31237,7809
Mulholland Drive,587591,8902
My First Mister,102456,3104
Spriggan,7420,1484
Bones,2823548,3333
Kansas,1274742,1505
Making the Grade,1760856,1471
Not Without My Daughter,3804055,3345
From Hell,11014818,4778
Riding in Cars with Boys,10404652,3756
Bangkok Dangerous,7783266,2937
Burnt Money,30260,10086
Dancing at the Blue Iguana,30181,4311
Focus,24139,12069
Intimacy,33808,6761
Waking Life,88977,22244
K-PAX,17215275,6775
On the Line,2307063,2563
Better Than Sex,19521,2788
Donnie Darko,110494,1905
High Heels and Low Lifes,113512,648
Life as a House,294056,10139
Trembling Before G-d,21410,21410
The One,19112404,6604
Tape,28424,4060
Heist,7823521,4137
Shallow Hal,22518295,8129
King of the Jungle,11652,11652
Maze,16974,771
Novocaine,418098,3981
Black Knight,11102948,4318
Out Cold,4531665,2253
Spy Game,21689125,7830
In the Bedroom,93972,23493
Breathless,4384369,3776
Subway,11332,11332
Little Women,2411247,1604
Fame,118160,39386
Flash Gordon,3934030,4780
Lone Wolf McQuade,4295300,3517
Lord of the Flies,4410457,4966
Sudden Impact,9688561,6332
Behind Enemy Lines,18736133,6763
Texas Rangers,319516,794
Baran,21702,10851
Moscow on the Hudson,3536687,5722
Not Another Teen Movie,12615116,5334
Vanilla Sky,25015518,9123
Iris,23144,11572
Kandahar,22866,7622
Lantana,66701,11116
Clockwise,156066,7093
Sheena,2950114,1972
Silent Rage,3693117,2533
White Water Summer,122934,1170
How High,7102260,5610
Joe Somebody,3553725,1418
Sahara,18068372,5728
Ali,14710892,6014
Black Hawk Down,179823,44955
Charlotte Gray,46271,9254
Yentl,3050219,6088
Gosford Park,241219,26802
I Am Sam,41779,20889
Motorama,5577,2788
Orange County,15053226,6496
Brotherhood of the Wolf,475181,22628
China Moon,1183843,3140
Romantic Comedy,2366025,2597
Truly Madly Deeply,4009,4009
Dragonslayer,2407939,2774
Conan the Destroyer,6958872,6229
Fire and Ice,263238,2957
Foxes,221141,6504
Impostor,3022523,1616
Snow Dogs,17814259,7738
Italian for Beginners,66047,22015
Time of Favor,19473,3894
Blankman,3715480,2300
Brainstorm,1196965,7082
American Adobo,41001,13667
Metropolis,84660,9406
Storytelling,73688,18422
Waydowntown,21489,7163
Cousins,3039805,5681
Falling in Love,2293710,7520
Slackers,2785283,1471
Birthday Girl,2370809,2370
Honky Tonk Freeway,939423,1493
Big Fat Liar,11554015,4565
Collateral Damage,15058432,5332
Rollerball,9013548,3263
Rookie of the Year,9122714,6248
Crossroads,14527187,6103
John Q,20275194,8221
Return to Never Land,11889631,4564
Super Troopers,6203906,3485
Last Orders,111676,6569
Dragonfly,10216025,4075
Queen of the Damned,14757535,5877
Maryam,2210,2210
Monsoon Wedding,68546,34273
Scratch,29677,5935
State Property,452028,7410
40 Days and 40 Nights,12229529,5496
We Were Soldiers,20212543,6430
Trouble Every Day,2984,2984
Intersection,7818502,6014
All About the Benjamins,10007291,6649
Full Frontal,739834,3556
Hidden Agenda,49827,16609
Hero at Large,1850725,3808
Honeysuckle Rose,2189966,2651
Oh Heavenly Dog,323320,2836
Ice Age,46312454,13966
Resident Evil,17707106,7004
Showtime,15011430,5146
Kissing Jessica Stein,346999,13346
All the Right Moves,1625486,3677
I Think I Do,33633,6727
Split Second,2250000,2073
Taps,93005,31001
Running Scared,5227757,3799
Simon,2453,2453
Stir Crazy,8691886,10691
Sorority Boys,4127903,2292
Stolen Summer,61613,4739
George Washington,20833,3472
Clockstoppers,10108333,3979
Death to Smoochy,4266463,1971
Panic Room,30056751,9844
No Such Thing,25324,2813
30 YEARS TO LIFE,3376,3376
Bar Girls,2343,2343
Crimes of Passion,1103210,3394
Fraternity Vacation,1023186,2940
Impromptu,51176,17058
High Crimes,14005550,5154
Crush,46469,4646
Lucky Break,7495,1249
Changing Lanes,17128062,6554
Frailty,4208655,2811
New Best Friend,28658,286
Human Nature,297340,1327
My Big Fat Greek Wedding,597362,5531
Joe Versus the Volcano,9252232,5134
Taking Care of Business,3620054,3370
Three Men and a Baby,10384392,10322
Three Men and a Little Lady,13774642,10753
Transylvania 6-5000,2507542,3577
Murder by Numbers,9307394,3495
Behind the Sun,4671,4671
Chelsea Walls,10003,3334
Joshua,51233,8538
Nine Queens,40724,8144
Spooky House,22677,809
Jason X,6649006,3540
Life or Something Like It,6219234,2386
In Praise of Love,38844,12948
Salton Sea,166309,11087
Some Body,2042,2042
Vulgar,9377,4688
Bob le Flambeur,4623,4623
Cadillac Man,6712079,3675
Cuba,527540,1593
Delirious,1803059,1578
Full Moon in Blue Water,212963,3802
Husbands and Wives,3520550,4070
Nomads,1013328,2043
Thief of Hearts,3091670,2576
Triumph of the Spirit,33963,11321
Wild Orchid,2622637,3202
Deuces Wild,2704682,1827
Hollywood Ending,2017981,2638
Iron Will,5313406,2795
Mountains of the Moon,66683,33341
Rambling Rose,314631,12101
White Fang,5640712,5090
Unfaithful,14065277,5374
Whore,165534,3183
About a Boy,8557630,7090
Every Which Way But Loose,10272294,8056
Enough,14009653,5341
Insomnia,20930169,8019
Undercover Brother,12037685,5555
84 Charing Cross Road,24350,24350
Nora,12297,1537
Rapid Fire,4815850,2634
Bad Company,11007367,3738
Cherish,36618,6103
Windtalkers,14520412,5010
Harvard Man,8425,8425
Dark Blue World,19541,3908
Bad Company,11007367,3738
Hero and the Terror,1840487,1849
Silver Bullet,4013563,3123
Men at Work,3184311,3310
Traces of Red,804336,2078
Juwanna Mann,5474270,4131
Minority Report,35677125,11888
Sunshine State,93072,9307
Pumpkin,30514,3814
Lost in Yonkers,3002150,2522
Zebrahead,609041,2426
Like Mike,12179420,5053
Me Without You,12816,12816
Reign of Fire,15632281,5946
Road to Perdition,22079481,12286
My Wife Is an Actress,49204,7029
Never Again,33088,6617
Perfect,4222810,3141
Sex and Lucia,47591,6798
Eight Legged Freaks,6485458,2563
Stuart Little 2,15115152,4643
Happy Times,31084,5180
Tadpole,80682,13447
Signs,60117080,18418
Blood Work,7312413,2896
xXx,44506103,13190
Secret Ballot,14609,2921
Lan Yu,7583,7583
Read My Lips,27080,27080
Merci pour le Chocolat,14868,14868
Rollerball,9013548,3263
Blue Crush,14169455,4720
Mostly Martha,40446,20223
Possession,1575214,5834
One Hour Photo,321515,45930
Serving Sara,5758236,2673
Undisputed,4548750,4127
How I Killed My Father,7480,2493
Satin Rouge,18880,9440
976-EVIL,794049,3163
Down and Out in Beverly Hills,5726495,7104
Stakeout,5170403,5436
Wolfen,3037911,3141
FearDotCom,5710128,2239
Love and a Bullet,9994,713
True Colors,59517,9919
Snipes,14027,2337
City By The Sea,8935426,3470
Swimfan,11326601,3965
Heartbreak Hospital,1480,1480
Johnny Dangerously,2947746,2714
Barbershop,20627433,12851
Stealing Harvard,6041521,2553
Igby Goes Down,306705,30670
Quitting,7908,1581
Aspen Extreme,3342613,2297
Captain Ron,4893112,3460
Ernest Goes to Jail,6143372,3161
Ernest Scared Stupid,4453132,2498
Indian Summer,3368711,3217
Monkey Trouble,4523597,3203
Spaced Invaders,4474336,2457
Suburban Commando,1947744,2166
Surf Ninjas,2026278,1533
Ratcatcher,10762,5381
Son of the Bride,34231,5705
Trapped,3210765,1441
8 Women,52489,17496
His Secret Life,18316,4579
Invincible,14293,3573
Secretary,182306,16573
Spirited Away,449839,17301
Sweet Home Alabama,35648740,10825
Charly,56900,1580
Crazy As Hell,13341,1905
Just a Kiss,7239,1447
Moonlight Mile,329771,14989
Shanghai Ghetto,10356,10356
Skins,23439,2604
Wasabi,17560,3512
Red Dragon,36540945,10885
Bloody Sunday,29419,14709
Heaven,1983,1983
Pipe Dream,7998,2666
Welcome to Collinwood,75180,4698
Flirting,10125,10125
Powaqqatsi,27899,27899
Texasville,823534,2326
Valmont,96008,13715
Strange Brew,1913389,2253
Festival in Cannes,41006,6834
Flashback,2910116,3325
Hanky Panky,3597244,2905
Below,201431,1198
Brown Sugar,10738882,7827
Knockaround Guys,5016852,2777
Tuck Everlasting,5268764,4446
White Oleander,5607480,3713
Bowling for Columbine,209148,26143
Comedian,60224,15056
On Guard,11756,11756
Safe Conduct,6811,3405
Swept Away,354052,1806
Abandon,5064077,2163
Auto Focus,123761,11251
Naqoyqatsi,17154,8577
Real Women Have Curves,183772,3341
Russian Ark,29022,14511
Take Care of My Cat,3137,1568
Tully,21162,3527
Billy Bathgate,4051590,4442
Saturday Night Fever,3878099,7694
Staying Alive,12146143,7316
Wholly Moses,3625280,5962
Xanadu,1471595,5910
Absence of Malice,97667,48833
All Night Long,1392852,3847
Buddy Buddy,189000,762
Continental Divide,3218347,3724
Endless Love,4163623,7253
Ghost Story,2105729,3842
Heartbeeps,407464,826
Teddy Bear,5388,2694
Modern Romance,18225,18225
Neighbors,6481386,4672
Pennies from Heaven,520000,1650
Pieces,604510,5812
Private Lessons,1056158,5900
Derrida,11473,11473
Ghost Ship,11503423,4127
Paid in Full,1328789,4958
All or Nothing,25890,3698
Food of Love,3692,3692
Frida,205996,41199
Roger Dodger,47431,11857
Time Changer,300103,1775
Exodus,24115934,6884
I Spy,12752803,4007
Besotted,656,656
Blackboards,3416,3416
Love in the Time of Money,6040,1510
Femme Fatale,2776248,2604
8 Mile,51240555,20745
Far from Heaven,211279,35213
Half Past Dead,7820536,3701
Ararat,211130,35188
Interview with the Assassin,10497,2099
Standing in the Shadows of Motown,114442,4975
Men with Brooms,656619,3172
Madame Bovary,236113,4540
Return to the Blue Lagoon,1277428,1025
Too Beautiful for You,31208,31208
Toy Soldiers,4182300,3098
Raggedy Man,287081,1442
Ragtime,151351,30270
Rollover,2260689,2994
Sphinx,439564,2054
Student Bodies,1582148,2519
This Is Elvis,429146,1388
Die Another Day,47072040,14203
Friday After Next,13010767,8051
Personal Velocity,29943,14971
Smokers Only,3102,3102
Talk to Her,104396,52198
Eight Crazy Nights,9434175,3769
Extreme Ops,2233525,1241
Solaris,6752722,2807
Treasure Planet,12083248,3744
They,5144090,3185
Another You,1537965,1195
Brother,60029,5457
Elling,9606,4803
I Spit on Your Grave,32440,2703
New Waterford Girl,40251,10062
Analyze That,11034422,4187
Empire,6281415,7245
Equilibrium,541512,1799
My Kingdom,2607,2607
Medea,2379,2379
Scarlet Diva,4547,4547
Zoot Suit,63356,1111
Alone in the Dark,2834421,1334
Barbarosa,285312,1525
Best Friends,4022891,3788
Cannery Row,1500000,2142
Deathtrap,2238977,6565
Drumline,12604705,6865
Maid in Manhattan,18711407,6593
About Schmidt,282367,47061
Evelyn,65344,4356
Intacto,7362,7362
Morvern Callar,13836,4612
Devils on the Doorstep,3227,3227
25th Hour,108865,21773
Antwone Fisher,210013,14000
Gangs of New York,9496870,6314
Two Weeks Notice,14328494,5200
Narc,63303,10550
Bad Influence,3822019,2944
Blue Steel,2895744,2215
Body of Evidence,7365429,3592
Company Business,533610,2300
Miami Blues,3002997,3609
My Girl 2,5012295,2722
My Girl,12391783,5957
Black Christmas,3723364,2411
Esther Kahn,5124,5124
Invaders from Mars,2046576,1688
Asoka,337464,5113
Quicksilver,3170215,2534
Catch Me If You Can,30053627,9522
Chicago,2074929,26947
Max,30157,5026
Nicholas Nickleby,42864,8572
Sonny,17639,2939
Love Liza,15522,3880
Confessions of a Dangerous Mind,87199,21799
Just Married,17548993,6344
Kangaroo Jack,16580209,5883
National Security,14369694,5265
City of God,88292,17658
Divine Intervention,13228,13228
American Me,3378100,4070
Breaking Up,4493,2246
CB4,6122450,5085
Dogfight,18736,18736
Mystery Date,1952569,1424
Secret Admirer,2414984,1857
Darkness Falls,12024917,4239
In the Mirror of Maya Deren,3225,3225
Blind Date,7531273,6020
Ethan Frome,57623,3389
Krush Groove,2905293,5597
Sugar Hill,5712485,6760
Chaos,20570,6857
Biker Boyz,10106992,5723
Final Destination 2,16017141,5652
Lost in La Mancha,63303,7913
May,34989,3887
Evil Under the Sun,1690774,2776
Firefox,8152948,9254
Five Days One Summer,43891,7315
Forced Vengeance,1109011,1925
Honkytonk Man,667727,986
If You Could See What I Hear,2408000,4595
Kiss Me Goodbye,1345672,1718
Making Love,3015497,8307
Megaforce,2350021,1969
Missing,2300000,3137
Monsignor,3631834,4237
One from the Heart,389249,9493
Paradise,2815503,2454
Partners,2318801,2644
Personal Best,549878,3872
Shoot the Moon,1870000,3196
Six Pack,1946418,3861
Some Kind of Hero,5631293,5775
Tempest,80492,20123
Trail of the Pink Panther,1341695,1664
Venom,1672747,1858
Wrong Is Right,1412646,1512
Deliver Us from Eva,6648374,5837
How to Lose a Guy in 10 Days,23774850,8133
Shanghai Knights,19603630,7120
Daredevil,40310419,11613
All the Real Girls,39417,6570
Gerry,26285,13142
Lockdown,200000,2667
Ordinary Sinner,3072,3072
Dennis the Menace,9331139,4475
10 to Midnight,3050225,5126
Into the West,1410414,2564
Messenger of Death,1035279,2300
Dark Blue,3880688,1783
Gods and Generals,4675246,3049
Old School,17453216,6490
Dischord,2199,1099
Open Hearts,14224,7112
Poolhall Junkies,301856,1686
Till Human Voices Wake Us,7968,1593
Stone Reader,5682,5682
Cradle 2 the Grave,16521468,6293
Spider,5575,5575
American Heart,5549,5549
Lady Jane,55964,3997
Late Marriage,31685,15842
Life Stinks,1920215,2219
Ten,121374,4854
Bringing Down the House,31101026,11103
Tears of the Sun,17057213,5737
Irreversible,60086,8583
Laurel Canyon,149099,14909
Nowhere in Africa,22070,11035
Bend It Like Beckham,161528,26921
Willard,4010593,2277
Gaudi Afternoon,3838,3838
Spun,15160,15160
Under the Skin of the City,7412,3706
Born Yesterday,5911343,4557
Europa Europa,31433,15716
Green Card,47781,23890
Journey to the Center of the Earth,21018141,7477
One Good Cop,3360277,2483
Talent for the Game,62571,1042
Boat Trip,3815075,2225
Dreamcatcher,15027423,5102
View from the Top,7009513,2794
Wind,2204590,2245
Unknown Pleasures,3628,3628
Basic,11511960,4003
Head of State,13503484,6278
What a Girl Wants,11434964,3857
Assassination Tango,64474,9211
Raising Victor Vargas,33166,16583
Stevie,9383,2346
Physical Evidence,1777358,2572
Phone Booth,15021088,6054
DysFunktional Family,1079797,1793
Levity,30599,3059
Anger Management,42220847,11889
Better Luck Tomorrow,360772,27751
Ghosts of the Abyss,1408474,14520
House of 1000 Corpses,3460666,5816
Bulletproof Monk,8653542,2928
Chasing Papi,2404557,4110
Holes,16300155,6992
Winged Migration,33128,33128
Brainscan,1725000,1412
I Am Trying to Break Your Heart,10776,10776
Legal Eagles,8043360,6445
Married to It,1077278,1310
Memories of Me,1388123,1919
Sibling Rivalry,4017930,2774
Undercover Blues,4379488,2744
Wildcats,5472905,5192
My Father the Hero,5645251,4731
Scenes from a Mall,3825068,3681
Stella,4311656,4173
Confidence,4563588,2439
Identity,16225263,5936
It Runs in the Family,2804441,2323
City of Ghosts,30547,5091
House of Fools,7246,2415
Manic,7628,7628
People I Know,34211,6842
Spellbound,17508,17508
X2,85558731,22870
Blue Car,30087,5014
Marooned in Iraq,6696,6696
Owning Mahowny,33287,3698
Daddy Day Care,27623580,8196
Man on the Train,41138,8227
Only the Strong Survive,22035,1836
Washington Heights,61332,2271
101 Reykjavik,14656,7328
Absolute Beginners,83743,20935
Beat Street,5218040,3781
Lambada,2031181,1818
Roadie,1002263,1825
Down with Love,45029,45029
Cinemania,3948,3948
Friends and Family,8804,8804
Bruce Almighty,67953330,19510
Respiro,71677,10239
Finding Nemo,70251710,20821
Wrong Turn,5161498,3195
Capturing the Friedmans,65154,21718
Together,45848,22924
2 Fast 2 Furious,50472480,14810
Love the Hard Way,10721,1786
Whale Rider,137418,15268
Regeneration,19593,3265
Two Evil Eyes,260410,1736
Straight Talk,4575746,3098
Oscar,5091027,3667
Attack,27379,9126
Barton Fink,268561,24414
Cloak and Dagger,2862025,2495
Music Box,19381,6460
Good Burger,7058333,3740
Mississippi Masala,45831,22915
Defence of the Realm,19938,4984
Opportunity Knocks,3512625,2755
Shattered,3457105,2688
Where the Heart Is,8292939,3402
From Justin to Kelly,2715848,1357
Hollywood Homicide,11112632,3912
Rugrats Go Wild,11556869,3800
Jet Lag,20454,10227
Manito,11000,2200
No Turning Back,5521,1380
Tycoon,13342,6671
28 Days Later,10061858,7985
Gasoline,2885,2885
Fulltime Killer,3676,3676
Just a Little Harmless Sex,46231,983
Anastasia,120541,120541
Flight of the Intruder,5725133,3844
Fun with Dick and Jane,14383515,4706
Nuts,4606083,8593
Rhapsody in August,26771,3824
Hulk,62128420,16974
Swimming Pool,287296,22099
I Capture the Castle,51970,6496
Northfork,61481,12296
How to Deal,5809960,2505
Johnny English,9134085,4085
Dirty Pretty Things,100512,20102
Garage Days,20600,895
Born to Be Wild,1657008,1218
Curly Sue,4974958,3044
Little Giants,4778029,2363
Loose Cannons,2239830,1845
Masked and Anonymous,30783,7695
Seabiscuit,20854735,10485
Buffalo Soldiers,30977,5162
Camp,54294,18098
Hotel,12840,6420
Mondays in the Sun,22401,3200
Scorched,8000,666
Eve of Destruction,2163024,2195
American Wedding,33369440,10520
Gigli,3753518,1694
Seaside,4736,4736
Le Divorce,516834,15201
Princess Blade,12618,3154
Step Into Liquid,135985,27197
Big Trouble,3545204,1807
I Love You to Death,4014640,3745
Grind,2511403,1114
Open Range,14047781,6770
Shaolin Soccer,39167,6527
Uptown Girls,11277367,4519
American Splendor,159705,26617
Carnage,7139,7139
Passionada,123568,1669
Agent Cody Banks,14064317,4174
Camp Nowhere,2755661,2029
House of Wax,12077236,3882
Of Unknown Origin,540446,2715
Valley Girl,1856780,4200
Where the Rivers Flow North,46775,3341
Code Unknown,10860,3620
Showdown in Little Tokyo,455192,3251
Chunhyang,16187,8093
Ash Wednesday,2942,1471
10,3526692,4995
Tremors,3731520,2535
Commando,7700015,5150
Dracula,23514615,8151
War Photographer,9327,9327
Incident at Oglala,19070,6356
Revolution OS,3500,3500
Earth,42449,5306
Marci X,872950,727
Autumn Spring,10046,5023
Venus Boyz,5045,5045
Suddenly,5406,5406
Jeepers Creepers 2,15269324,4887
Civil Brand,99296,2837
Nola,6010,316
Once Upon a Time in the Midlands,21475,3579
Zero Day,3148,3148
Home Room,3467,1156
Party Monster,15163,15163
Taking Sides,22051,11026
Cabin Fever,8633585,4136
Matchstick Men,13087307,4827
Once Upon a Time in Mexico,23424118,7137
Dummy,30120,6024
Lost in Translation,925087,40221
Luster,7589,7589
Millennium Actress,18732,3122
So Close,31702,2882
Hard to Hold,3410001,3353
Kuffs,5651055,4005
Day of the Dead,1700000,10119
Memoirs of an Invisible Man,4601954,2625
See No Evil,4581233,3644
Super Sucker,89551,779
Bingo,2141360,2320
Once Bitten,4025657,3676
Anything Else,1673125,1619
Cold Creek Manor,8190574,4024
Secondhand Lions,12139832,4029
Underworld,21753759,7462
Casa de los Babys,36456,4050
Demonlover,39284,4910
Close Your Eyes,21980,1292
In This World,24602,2460
Duplex,4617128,2109
Under the Tuscan Sun,9751425,7953
Camera Obscura,6066,6066
Kart Racer,56146,652
Luther,908446,2271
Mambo Italiano,406651,4107
My Life Without Me,40515,5787
To Be and to Have,20528,6842
Videodrome,1194175,1990
Journey of Hope,12489,6244
Kiss of the Spider Woman,55962,55962
Angie,2779640,3440
Avalon,226613,32373
Beethoven,7587565,4495
Black Moon Rising,2775388,3076
Boyz n the Hood,10023462,12091
Bugsy,140358,35089
By the Sword,4078,453
Cobra,12653032,5937
Consenting Adults,5023467,3320
Crimewave,3571,510
Time and Tide,10770,10770
Tightrope,9156545,5965
Sleeping with the Enemy,13777943,9799
PCU,2129483,1223
City Heat,6301694,4523
Into the Night,2574438,2348
White Hunter Black Heart,165450,6893
Ginger Snaps,1430,1430
Under Suspicion,109863,5782
Ruby,614327,804
Sunday in the Country,103710,7977
Regarding Henry,6146782,7683
Wilder Napalm,12078,4026
Love Affair,5438758,3431
Article 99,2461469,1950
Oleanna,25316,1688
Chattahoochee,17471,8735
Leap of Faith,3222768,2073
Campus Man,319218,1039
Murderous Maids,19992,9996
Mobsters,6030585,4185
Charlotte Sometimes,3284,3284
Out of Time,16185316,5261
School of Rock,19622714,7506
Concert for George,67711,644
Wonderland,91798,18359
Bus 174,8625,8625
Mystic River,640815,49293
House of the Dead,5683280,3739
Intolerable Cruelty,12525075,4884
Dopamine,22278,2227
Girls Will Be Girls,14361,7180
Runaway Jury,11836705,4204
Pieces of April,48422,8070
Returner,29214,2247
Sylvia,58940,19646
Veronica Guerin,611276,1295
In the Cut,97625,16270
Beyond Borders,2076402,1154
Radio,13303724,4327
Scary Movie 3,48113770,13727
Brother Bear,291940,145970
Elephant,93356,15559
Gypsy 83,5054,5054
Impulse,995570,2647
Shoah,2874,2874
Unconditional Love,73001,715
Sweet Sixteen,26667,8889
Men of Respect,82841,2510
Storyville,101383,5335
Chicago Joe and the Showgirl,14979,2496
Promised Land,31401,5233
Girlhood,4845,2422
Shattered Glass,77540,9692
Suspended Animation,3285,1095
Elf,31113501,9323
Billabong Odyssey,54000,2000
Gloomy Sunday,7102,7102
In My Skin,7572,2524
Love Actually,6886080,11955
Love Forbidden,4075,4075
Father of the Bride,7031146,4504
My Architect,37929,18964
Gothika,19288438,8097
21 Grams,274454,34306
Blue Gate Crossing,2547,2547
Bad Santa,12292952,6131
Timeline,8440629,3028
Damage,101707,25426
Journeys with George,2264,2264
Darkman,8054860,4510
Final Analysis,6411441,4262
Funny Games,544833,1905
New Jack City,7039622,8166
Slacker,24307,12153
WarGames,6227804,7387
Jane Eyre,269929,7712
Gorky Park,1290754,2052
Guarding Tess,7065213,4413
Hannah and Her Sisters,1265826,23441
Hoffa,6406012,6009
House of Cards,12753,2125
Housesitter,9106950,5450
Hudson Hawk,7082820,3420
Invasion of the Body Snatchers,1298129,2917
Mindwalk,7621,7621
Kafka,40814,20407
Kindergarten Cop,7918560,4320
King Ralph,8327550,5150
Knight Moves,459900,1095
Matador,69100,17275
Nowhere to Run,8203255,4701
Only the Lonely,5997993,3943
Over the Top,5149200,2929
Passenger 57,10513925,6063
Presumed Innocent,11718981,8687
Project X,3309985,3238
Proof,193840,24230
Pure Luck,5010810,3210
