,title,genre,url,revenue_to_data
60,Friday the 13th,Horror,https://www.the-numbers.com/movie/Friday-the-13th-(2009)#tab=summary,103583376.0
61,Gomorra,Drama,https://www.the-numbers.com/movie/Gomorra#tab=summary,37339594.0
62,The International,Thriller/Suspense,https://www.the-numbers.com/movie/International-The#tab=summary,61794100.0
63,Must Read After My Death,Documentary,https://www.the-numbers.com/movie/Must-Read-After-My-Death#tab=summary,0.0
64,Two Lovers,Drama,https://www.the-numbers.com/movie/Two-Lovers#tab=summary,16349034.0
65,Under the Sea 3D,Documentary,https://www.the-numbers.com/movie/Under-the-Sea-3-D#tab=summary,46890944.0
66,Katyn,Drama,https://www.the-numbers.com/movie/Katyn#tab=summary,11882290.0
67,Fired Up,Comedy,https://www.the-numbers.com/movie/Fired-Up#tab=summary,29926751.0
68,Madea Goes To Jail,Comedy,https://www.the-numbers.com/movie/Madea-Goes-To-Jail-(2009)#tab=summary,119897983.0
69,Stone of Destiny,,https://www.the-numbers.com/movie/Stone-of-Destiny#tab=summary,389584.0
70,Examined Life,Documentary,https://www.the-numbers.com/movie/Examined-Life#tab=summary,120712.0
71,An American Affair,Drama,https://www.the-numbers.com/movie/American-Affair-An#tab=summary,28044.0
72,Bob Funk,,https://www.the-numbers.com/movie/Bob-Funk#tab=summary,4085.0
73,Le Bonheur de Pierre,,https://www.the-numbers.com/movie/Bonheur-de-Pierre-Le#tab=summary,267856.0
74,Crossing Over,Drama,https://www.the-numbers.com/movie/Crossing-Over#tab=summary,7201827.0
75,Echelon Conspiracy,Thriller/Suspense,https://www.the-numbers.com/movie/Echelon-Conspiracy#tab=summary,796716.0
76,Jonas Brothers: The 3D Concert Experi…,Concert/Performance,https://www.the-numbers.com/movie/Jonas-Brothers-3-D-Concert-Movie#tab=summary,39739300.0
77,Play the Game,Comedy,https://www.the-numbers.com/movie/Play-the-Game#tab=summary,659483.0
78,Robert Blecker Wants Me Dead,,https://www.the-numbers.com/movie/Robert-Blecker-Wants-Me-Dead#tab=summary,9166.0
79,Scott Walker: 30 Century Man,Documentary,https://www.the-numbers.com/movie/Scott-Walker-30-Century-Man#tab=summary,77121.0
80,Street Fighter: The Legend of Chun-Li,Action,https://www.the-numbers.com/movie/Street-Fighter-The-Legend-of-Chun-Li#tab=summary,18709929.0
81,The Trouble With Romance,,https://www.the-numbers.com/movie/Trouble-With-Romance-The#tab=summary,0.0
82,Jonah,Comedy,https://www.the-numbers.com/movie/Jonah-(2009)#tab=summary,0.0
83,Mine,Documentary,https://www.the-numbers.com/movie/Mine-(2009)#tab=summary,11283.0
84,12,Thriller/Suspense,https://www.the-numbers.com/movie/12-(2009-Russian-Federation)#tab=summary,4581361.0
85,13B,,https://www.the-numbers.com/movie/13B#tab=summary,1398956.0
86,Dhoondte Reh Jaoge,,https://www.the-numbers.com/movie/Dhoondte-Reh-Jaoge#tab=summary,1063900.0
87,Explicit Ills,,https://www.the-numbers.com/movie/Explicit-Ills#tab=summary,28564.0
88,Fados,Drama,https://www.the-numbers.com/movie/Fados#tab=summary,129150.0
89,Horsemen,Thriller/Suspense,https://www.the-numbers.com/movie/Horsemen#tab=summary,0.0
90,Maria Larssons eviga Ã¶gonblick,,https://www.the-numbers.com/movie/Maria-Larssons-eviga-ogonblick#tab=summary,3210825.0
91,Phoebe in Wonderland,Drama,https://www.the-numbers.com/movie/Phoebe-in-Wonderland#tab=summary,73361.0
92,Reunion,,https://www.the-numbers.com/movie/Reunion-(2009)#tab=summary,8030.0
93,Sherman's Way,,https://www.the-numbers.com/movie/Shermans-Way#tab=summary,13282.0
94,Shuttle,Horror,https://www.the-numbers.com/movie/Shuttle#tab=summary,1925.0
95,Tokyo!,Drama,https://www.the-numbers.com/movie/Tokyo#tab=summary,1134059.0
