dates,searches,title
2012-01-01,20,Bullet to the Head
2012-01-08,9,Bullet to the Head
2012-01-15,0,Bullet to the Head
2012-01-22,18,Bullet to the Head
2012-01-29,45,Bullet to the Head
2012-02-05,27,Bullet to the Head
2012-02-12,53,Bullet to the Head
2012-02-19,18,Bullet to the Head
2012-02-26,18,Bullet to the Head
2012-03-04,37,Bullet to the Head
2012-03-11,28,Bullet to the Head
2012-03-18,18,Bullet to the Head
2012-03-25,9,Bullet to the Head
2012-04-01,28,Bullet to the Head
2012-04-08,0,Bullet to the Head
2012-04-15,45,Bullet to the Head
2012-04-22,18,Bullet to the Head
2012-04-29,0,Bullet to the Head
2012-05-06,9,Bullet to the Head
2012-05-13,18,Bullet to the Head
2012-05-20,9,Bullet to the Head
2012-05-27,9,Bullet to the Head
2012-06-03,19,Bullet to the Head
2012-06-10,19,Bullet to the Head
2012-06-17,9,Bullet to the Head
2012-06-24,0,Bullet to the Head
2012-07-01,10,Bullet to the Head
2012-07-08,0,Bullet to the Head
2012-07-15,9,Bullet to the Head
2012-07-22,0,Bullet to the Head
2012-07-29,0,Bullet to the Head
2012-08-05,0,Bullet to the Head
2012-08-12,100,Bullet to the Head
2012-08-19,63,Bullet to the Head
2012-08-26,17,Bullet to the Head
2012-09-02,9,Bullet to the Head
2012-09-09,17,Bullet to the Head
2012-09-16,26,Bullet to the Head
2012-09-23,9,Bullet to the Head
2012-09-30,17,Bullet to the Head
2012-10-07,0,Bullet to the Head
2012-10-14,0,Bullet to the Head
2012-10-21,8,Bullet to the Head
2012-10-28,25,Bullet to the Head
2012-11-04,8,Bullet to the Head
2012-11-11,8,Bullet to the Head
2012-11-18,9,Bullet to the Head
2012-11-25,23,Bullet to the Head
2012-12-02,0,Bullet to the Head
2012-12-09,16,Bullet to the Head
2012-12-16,8,Bullet to the Head
2012-12-23,28,Bullet to the Head
2012-12-30,58,Bullet to the Head
2012-01-01,1,Warm Bodies
2012-01-08,2,Warm Bodies
2012-01-15,3,Warm Bodies
2012-01-22,3,Warm Bodies
2012-01-29,1,Warm Bodies
2012-02-05,1,Warm Bodies
2012-02-12,2,Warm Bodies
2012-02-19,1,Warm Bodies
2012-02-26,1,Warm Bodies
2012-03-04,0,Warm Bodies
2012-03-11,0,Warm Bodies
2012-03-18,2,Warm Bodies
2012-03-25,1,Warm Bodies
2012-04-01,1,Warm Bodies
2012-04-08,0,Warm Bodies
2012-04-15,1,Warm Bodies
2012-04-22,1,Warm Bodies
2012-04-29,1,Warm Bodies
2012-05-06,1,Warm Bodies
2012-05-13,0,Warm Bodies
2012-05-20,0,Warm Bodies
2012-05-27,1,Warm Bodies
2012-06-03,1,Warm Bodies
2012-06-10,0,Warm Bodies
2012-06-17,1,Warm Bodies
2012-06-24,0,Warm Bodies
2012-07-01,2,Warm Bodies
2012-07-08,1,Warm Bodies
2012-07-15,2,Warm Bodies
2012-07-22,1,Warm Bodies
2012-07-29,1,Warm Bodies
2012-08-05,2,Warm Bodies
2012-08-12,2,Warm Bodies
2012-08-19,1,Warm Bodies
2012-08-26,3,Warm Bodies
2012-09-02,1,Warm Bodies
2012-09-09,0,Warm Bodies
2012-09-16,1,Warm Bodies
2012-09-23,0,Warm Bodies
2012-09-30,3,Warm Bodies
2012-10-07,2,Warm Bodies
2012-10-14,3,Warm Bodies
2012-10-21,3,Warm Bodies
2012-10-28,7,Warm Bodies
2012-11-04,28,Warm Bodies
2012-11-11,67,Warm Bodies
2012-11-18,100,Warm Bodies
2012-11-25,53,Warm Bodies
2012-12-02,65,Warm Bodies
2012-12-09,34,Warm Bodies
2012-12-16,30,Warm Bodies
2012-12-23,41,Warm Bodies
2012-12-30,65,Warm Bodies
2011-12-04,5,Texas Chainsaw 3D
2011-12-11,5,Texas Chainsaw 3D
2011-12-18,0,Texas Chainsaw 3D
2011-12-25,6,Texas Chainsaw 3D
2012-01-01,5,Texas Chainsaw 3D
2012-01-08,0,Texas Chainsaw 3D
2012-01-15,0,Texas Chainsaw 3D
2012-01-22,0,Texas Chainsaw 3D
2012-01-29,0,Texas Chainsaw 3D
2012-02-05,0,Texas Chainsaw 3D
2012-02-12,5,Texas Chainsaw 3D
2012-02-19,0,Texas Chainsaw 3D
2012-02-26,15,Texas Chainsaw 3D
2012-03-04,5,Texas Chainsaw 3D
2012-03-11,0,Texas Chainsaw 3D
2012-03-18,0,Texas Chainsaw 3D
2012-03-25,10,Texas Chainsaw 3D
2012-04-01,5,Texas Chainsaw 3D
2012-04-08,5,Texas Chainsaw 3D
2012-04-15,10,Texas Chainsaw 3D
2012-04-22,5,Texas Chainsaw 3D
2012-04-29,5,Texas Chainsaw 3D
2012-05-06,10,Texas Chainsaw 3D
2012-05-13,0,Texas Chainsaw 3D
2012-05-20,5,Texas Chainsaw 3D
2012-05-27,0,Texas Chainsaw 3D
2012-06-03,5,Texas Chainsaw 3D
2012-06-10,11,Texas Chainsaw 3D
2012-06-17,0,Texas Chainsaw 3D
2012-06-24,5,Texas Chainsaw 3D
2012-07-01,5,Texas Chainsaw 3D
2012-07-08,10,Texas Chainsaw 3D
2012-07-15,5,Texas Chainsaw 3D
2012-07-22,10,Texas Chainsaw 3D
2012-07-29,5,Texas Chainsaw 3D
2012-08-05,5,Texas Chainsaw 3D
2012-08-12,5,Texas Chainsaw 3D
2012-08-19,5,Texas Chainsaw 3D
2012-08-26,20,Texas Chainsaw 3D
2012-09-02,25,Texas Chainsaw 3D
2012-09-09,100,Texas Chainsaw 3D
2012-09-16,62,Texas Chainsaw 3D
2012-09-23,47,Texas Chainsaw 3D
2012-09-30,19,Texas Chainsaw 3D
2012-10-07,33,Texas Chainsaw 3D
2012-10-14,37,Texas Chainsaw 3D
2012-10-21,45,Texas Chainsaw 3D
2012-10-28,27,Texas Chainsaw 3D
2012-11-04,18,Texas Chainsaw 3D
2012-11-11,9,Texas Chainsaw 3D
2012-11-18,29,Texas Chainsaw 3D
2012-11-25,13,Texas Chainsaw 3D
2012-12-02,44,Texas Chainsaw 3D
dates,searches,title
dates,searches,title
dates,searches,title
2011-12-11,1,Gangster Squad
2011-12-18,0,Gangster Squad
2011-12-25,2,Gangster Squad
2012-01-01,1,Gangster Squad
2012-01-08,1,Gangster Squad
2012-01-15,0,Gangster Squad
2012-01-22,1,Gangster Squad
2012-01-29,1,Gangster Squad
2012-02-05,2,Gangster Squad
2012-02-12,1,Gangster Squad
2012-02-19,1,Gangster Squad
2012-02-26,1,Gangster Squad
2012-03-04,1,Gangster Squad
2012-03-11,1,Gangster Squad
2012-03-18,2,Gangster Squad
2012-03-25,1,Gangster Squad
2012-04-01,1,Gangster Squad
2012-04-08,1,Gangster Squad
2012-04-15,0,Gangster Squad
2012-04-22,0,Gangster Squad
2012-04-29,0,Gangster Squad
2012-05-06,39,Gangster Squad
2012-05-13,16,Gangster Squad
2012-05-20,15,Gangster Squad
2012-05-27,6,Gangster Squad
2012-06-03,6,Gangster Squad
2012-06-10,8,Gangster Squad
2012-06-17,4,Gangster Squad
2012-06-24,5,Gangster Squad
2012-07-01,6,Gangster Squad
2012-07-08,10,Gangster Squad
2012-07-15,100,Gangster Squad
2012-07-22,97,Gangster Squad
2012-07-29,9,Gangster Squad
2012-08-05,10,Gangster Squad
2012-08-12,11,Gangster Squad
2012-08-19,6,Gangster Squad
2012-08-26,6,Gangster Squad
2012-09-02,5,Gangster Squad
2012-09-09,4,Gangster Squad
2012-09-16,6,Gangster Squad
2012-09-23,7,Gangster Squad
2012-09-30,3,Gangster Squad
2012-10-07,19,Gangster Squad
2012-10-14,9,Gangster Squad
2012-10-21,6,Gangster Squad
2012-10-28,6,Gangster Squad
2012-11-04,9,Gangster Squad
2012-11-11,17,Gangster Squad
2012-11-18,15,Gangster Squad
2012-11-25,13,Gangster Squad
2012-12-02,8,Gangster Squad
2012-12-09,13,Gangster Squad
2011-12-18,4,Mama
2011-12-25,2,Mama
2012-01-01,8,Mama
2012-01-08,4,Mama
2012-01-15,11,Mama
2012-01-22,9,Mama
2012-01-29,4,Mama
2012-02-05,2,Mama
2012-02-12,6,Mama
2012-02-19,2,Mama
2012-02-26,8,Mama
2012-03-04,6,Mama
2012-03-11,8,Mama
2012-03-18,12,Mama
2012-03-25,10,Mama
2012-04-01,10,Mama
2012-04-08,10,Mama
2012-04-15,6,Mama
2012-04-22,7,Mama
2012-04-29,9,Mama
2012-05-06,2,Mama
2012-05-13,0,Mama
2012-05-20,0,Mama
2012-05-27,4,Mama
2012-06-03,4,Mama
2012-06-10,8,Mama
2012-06-17,8,Mama
2012-06-24,10,Mama
2012-07-01,2,Mama
2012-07-08,8,Mama
2012-07-15,0,Mama
2012-07-22,9,Mama
2012-07-29,2,Mama
2012-08-05,2,Mama
2012-08-12,6,Mama
2012-08-19,13,Mama
2012-08-26,6,Mama
2012-09-02,9,Mama
2012-09-09,76,Mama
2012-09-16,63,Mama
2012-09-23,35,Mama
2012-09-30,39,Mama
2012-10-07,58,Mama
2012-10-14,64,Mama
2012-10-21,61,Mama
2012-10-28,41,Mama
2012-11-04,33,Mama
2012-11-11,31,Mama
2012-11-18,100,Mama
2012-11-25,54,Mama
2012-12-02,75,Mama
2012-12-09,46,Mama
2012-12-16,69,Mama
2012-03-11,0,Upstream Color
2012-03-18,0,Upstream Color
2012-03-25,0,Upstream Color
2012-04-01,0,Upstream Color
2012-04-08,0,Upstream Color
2012-04-15,0,Upstream Color
2012-04-22,0,Upstream Color
2012-04-29,0,Upstream Color
2012-05-06,0,Upstream Color
2012-05-13,0,Upstream Color
2012-05-20,0,Upstream Color
2012-05-27,0,Upstream Color
2012-06-03,0,Upstream Color
2012-06-10,0,Upstream Color
2012-06-17,0,Upstream Color
2012-06-24,0,Upstream Color
2012-07-01,0,Upstream Color
2012-07-08,0,Upstream Color
2012-07-15,0,Upstream Color
2012-07-22,0,Upstream Color
2012-07-29,0,Upstream Color
2012-08-05,0,Upstream Color
2012-08-12,0,Upstream Color
2012-08-19,0,Upstream Color
2012-08-26,0,Upstream Color
2012-09-02,0,Upstream Color
2012-09-09,0,Upstream Color
2012-09-16,0,Upstream Color
2012-09-23,0,Upstream Color
2012-09-30,0,Upstream Color
2012-10-07,0,Upstream Color
2012-10-14,0,Upstream Color
2012-10-21,0,Upstream Color
2012-10-28,0,Upstream Color
2012-11-04,0,Upstream Color
2012-11-11,0,Upstream Color
2012-11-18,0,Upstream Color
2012-11-25,0,Upstream Color
2012-12-02,43,Upstream Color
2012-12-09,9,Upstream Color
2012-12-16,27,Upstream Color
2012-12-23,10,Upstream Color
2012-12-30,9,Upstream Color
2013-01-06,0,Upstream Color
2013-01-13,100,Upstream Color
2013-01-20,42,Upstream Color
2013-01-27,58,Upstream Color
2013-02-03,42,Upstream Color
2013-02-10,17,Upstream Color
2013-02-17,25,Upstream Color
2013-02-24,8,Upstream Color
2013-03-03,16,Upstream Color
2011-12-18,0,Broken City
2011-12-25,0,Broken City
2012-01-01,0,Broken City
2012-01-08,16,Broken City
2012-01-15,0,Broken City
2012-01-22,0,Broken City
2012-01-29,8,Broken City
2012-02-05,0,Broken City
2012-02-12,0,Broken City
2012-02-19,8,Broken City
2012-02-26,8,Broken City
2012-03-04,8,Broken City
2012-03-11,0,Broken City
2012-03-18,0,Broken City
2012-03-25,0,Broken City
2012-04-01,0,Broken City
2012-04-08,0,Broken City
2012-04-15,0,Broken City
2012-04-22,0,Broken City
2012-04-29,8,Broken City
2012-05-06,0,Broken City
2012-05-13,0,Broken City
2012-05-20,16,Broken City
2012-05-27,0,Broken City
2012-06-03,0,Broken City
2012-06-10,0,Broken City
2012-06-17,8,Broken City
2012-06-24,0,Broken City
2012-07-01,8,Broken City
2012-07-08,8,Broken City
2012-07-15,0,Broken City
2012-07-22,8,Broken City
2012-07-29,0,Broken City
2012-08-05,0,Broken City
2012-08-12,0,Broken City
2012-08-19,15,Broken City
2012-08-26,22,Broken City
2012-09-02,7,Broken City
2012-09-09,14,Broken City
2012-09-16,0,Broken City
2012-09-23,7,Broken City
2012-09-30,100,Broken City
2012-10-07,77,Broken City
2012-10-14,62,Broken City
2012-10-21,48,Broken City
2012-10-28,55,Broken City
2012-11-04,73,Broken City
2012-11-11,34,Broken City
2012-11-18,37,Broken City
2012-11-25,20,Broken City
2012-12-02,26,Broken City
2012-12-09,33,Broken City
2012-12-16,54,Broken City
2011-12-04,0,Movie 43
2011-12-11,1,Movie 43
2011-12-18,1,Movie 43
2011-12-25,0,Movie 43
2012-01-01,1,Movie 43
2012-01-08,1,Movie 43
2012-01-15,0,Movie 43
2012-01-22,1,Movie 43
2012-01-29,0,Movie 43
2012-02-05,1,Movie 43
2012-02-12,1,Movie 43
2012-02-19,1,Movie 43
2012-02-26,0,Movie 43
2012-03-04,0,Movie 43
2012-03-11,0,Movie 43
2012-03-18,0,Movie 43
2012-03-25,0,Movie 43
2012-04-01,0,Movie 43
2012-04-08,1,Movie 43
2012-04-15,0,Movie 43
2012-04-22,0,Movie 43
2012-04-29,0,Movie 43
2012-05-06,0,Movie 43
2012-05-13,0,Movie 43
2012-05-20,0,Movie 43
2012-05-27,0,Movie 43
2012-06-03,0,Movie 43
2012-06-10,0,Movie 43
2012-06-17,0,Movie 43
2012-06-24,0,Movie 43
2012-07-01,0,Movie 43
2012-07-08,0,Movie 43
2012-07-15,0,Movie 43
2012-07-22,0,Movie 43
2012-07-29,0,Movie 43
2012-08-05,1,Movie 43
2012-08-12,0,Movie 43
2012-08-19,1,Movie 43
2012-08-26,0,Movie 43
2012-09-02,0,Movie 43
2012-09-09,0,Movie 43
2012-09-16,0,Movie 43
2012-09-23,2,Movie 43
2012-09-30,100,Movie 43
2012-10-07,48,Movie 43
2012-10-14,13,Movie 43
2012-10-21,11,Movie 43
2012-10-28,8,Movie 43
2012-11-04,12,Movie 43
2012-11-11,6,Movie 43
2012-11-18,5,Movie 43
2012-11-25,6,Movie 43
2011-12-25,30,Parker
2012-01-01,16,Parker
2012-01-08,26,Parker
2012-01-15,45,Parker
2012-01-22,33,Parker
2012-01-29,18,Parker
2012-02-05,33,Parker
2012-02-12,18,Parker
2012-02-19,11,Parker
2012-02-26,26,Parker
2012-03-04,11,Parker
2012-03-11,19,Parker
2012-03-18,23,Parker
2012-03-25,30,Parker
2012-04-01,7,Parker
2012-04-08,35,Parker
2012-04-15,4,Parker
2012-04-22,18,Parker
2012-04-29,18,Parker
2012-05-06,18,Parker
2012-05-13,15,Parker
2012-05-20,23,Parker
2012-05-27,15,Parker
2012-06-03,64,Parker
2012-06-10,26,Parker
2012-06-17,41,Parker
2012-06-24,26,Parker
2012-07-01,16,Parker
2012-07-08,30,Parker
2012-07-15,41,Parker
2012-07-22,33,Parker
2012-07-29,40,Parker
2012-08-05,22,Parker
2012-08-12,22,Parker
2012-08-19,33,Parker
2012-08-26,21,Parker
2012-09-02,11,Parker
2012-09-09,21,Parker
2012-09-16,21,Parker
2012-09-23,21,Parker
2012-09-30,100,Parker
2012-10-07,43,Parker
2012-10-14,40,Parker
2012-10-21,37,Parker
2012-10-28,27,Parker
2012-11-04,20,Parker
2012-11-11,20,Parker
2012-11-18,18,Parker
2012-11-25,28,Parker
2012-12-02,35,Parker
2012-12-09,41,Parker
2012-12-16,23,Parker
2012-12-23,34,Parker
2012-01-08,0,Side Effects
2012-01-15,0,Side Effects
2012-01-22,7,Side Effects
2012-01-29,11,Side Effects
2012-02-05,0,Side Effects
2012-02-12,15,Side Effects
2012-02-19,11,Side Effects
2012-02-26,4,Side Effects
2012-03-04,4,Side Effects
2012-03-11,8,Side Effects
2012-03-18,0,Side Effects
2012-03-25,0,Side Effects
2012-04-01,12,Side Effects
2012-04-08,8,Side Effects
2012-04-15,19,Side Effects
2012-04-22,4,Side Effects
2012-04-29,0,Side Effects
2012-05-06,11,Side Effects
2012-05-13,15,Side Effects
2012-05-20,4,Side Effects
2012-05-27,12,Side Effects
2012-06-03,0,Side Effects
2012-06-10,4,Side Effects
2012-06-17,8,Side Effects
2012-06-24,0,Side Effects
2012-07-01,20,Side Effects
2012-07-08,8,Side Effects
2012-07-15,11,Side Effects
2012-07-22,7,Side Effects
2012-07-29,4,Side Effects
2012-08-05,11,Side Effects
2012-08-12,7,Side Effects
2012-08-19,4,Side Effects
2012-08-26,7,Side Effects
2012-09-02,7,Side Effects
2012-09-09,7,Side Effects
2012-09-16,7,Side Effects
2012-09-23,7,Side Effects
2012-09-30,7,Side Effects
2012-10-07,3,Side Effects
2012-10-14,3,Side Effects
2012-10-21,0,Side Effects
2012-10-28,34,Side Effects
2012-11-04,43,Side Effects
2012-11-11,24,Side Effects
2012-11-18,22,Side Effects
2012-11-25,19,Side Effects
2012-12-02,16,Side Effects
2012-12-09,26,Side Effects
2012-12-16,44,Side Effects
2012-12-23,53,Side Effects
2012-12-30,63,Side Effects
2013-01-06,100,Side Effects
2012-01-08,0,Identity Thief
2012-01-15,0,Identity Thief
2012-01-22,0,Identity Thief
2012-01-29,0,Identity Thief
2012-02-05,0,Identity Thief
2012-02-12,0,Identity Thief
2012-02-19,0,Identity Thief
2012-02-26,0,Identity Thief
2012-03-04,0,Identity Thief
2012-03-11,0,Identity Thief
2012-03-18,0,Identity Thief
2012-03-25,0,Identity Thief
2012-04-01,0,Identity Thief
2012-04-08,6,Identity Thief
2012-04-15,0,Identity Thief
2012-04-22,0,Identity Thief
2012-04-29,0,Identity Thief
2012-05-06,0,Identity Thief
2012-05-13,0,Identity Thief
2012-05-20,0,Identity Thief
2012-05-27,0,Identity Thief
2012-06-03,0,Identity Thief
2012-06-10,0,Identity Thief
2012-06-17,0,Identity Thief
2012-06-24,0,Identity Thief
2012-07-01,0,Identity Thief
2012-07-08,0,Identity Thief
2012-07-15,0,Identity Thief
2012-07-22,0,Identity Thief
2012-07-29,0,Identity Thief
2012-08-05,0,Identity Thief
2012-08-12,0,Identity Thief
2012-08-19,0,Identity Thief
2012-08-26,0,Identity Thief
2012-09-02,0,Identity Thief
2012-09-09,0,Identity Thief
2012-09-16,0,Identity Thief
2012-09-23,62,Identity Thief
2012-09-30,36,Identity Thief
2012-10-07,36,Identity Thief
2012-10-14,15,Identity Thief
2012-10-21,10,Identity Thief
2012-10-28,10,Identity Thief
2012-11-04,0,Identity Thief
2012-11-11,5,Identity Thief
2012-11-18,5,Identity Thief
2012-11-25,10,Identity Thief
2012-12-02,0,Identity Thief
2012-12-09,14,Identity Thief
2012-12-16,30,Identity Thief
2012-12-23,39,Identity Thief
2012-12-30,87,Identity Thief
2013-01-06,100,Identity Thief
2012-01-15,2,Beautiful Creatures
2012-01-22,0,Beautiful Creatures
2012-01-29,0,Beautiful Creatures
2012-02-05,0,Beautiful Creatures
2012-02-12,0,Beautiful Creatures
2012-02-19,0,Beautiful Creatures
2012-02-26,0,Beautiful Creatures
2012-03-04,0,Beautiful Creatures
2012-03-11,0,Beautiful Creatures
2012-03-18,2,Beautiful Creatures
2012-03-25,4,Beautiful Creatures
2012-04-01,2,Beautiful Creatures
2012-04-08,0,Beautiful Creatures
2012-04-15,0,Beautiful Creatures
2012-04-22,2,Beautiful Creatures
2012-04-29,0,Beautiful Creatures
2012-05-06,0,Beautiful Creatures
2012-05-13,2,Beautiful Creatures
2012-05-20,2,Beautiful Creatures
2012-05-27,0,Beautiful Creatures
2012-06-03,5,Beautiful Creatures
2012-06-10,0,Beautiful Creatures
2012-06-17,0,Beautiful Creatures
2012-06-24,2,Beautiful Creatures
2012-07-01,0,Beautiful Creatures
2012-07-08,2,Beautiful Creatures
2012-07-15,2,Beautiful Creatures
2012-07-22,2,Beautiful Creatures
2012-07-29,4,Beautiful Creatures
2012-08-05,0,Beautiful Creatures
2012-08-12,0,Beautiful Creatures
2012-08-19,2,Beautiful Creatures
2012-08-26,0,Beautiful Creatures
2012-09-02,0,Beautiful Creatures
2012-09-09,3,Beautiful Creatures
2012-09-16,50,Beautiful Creatures
2012-09-23,32,Beautiful Creatures
2012-09-30,5,Beautiful Creatures
2012-10-07,24,Beautiful Creatures
2012-10-14,25,Beautiful Creatures
2012-10-21,11,Beautiful Creatures
2012-10-28,14,Beautiful Creatures
2012-11-04,9,Beautiful Creatures
2012-11-11,55,Beautiful Creatures
2012-11-18,58,Beautiful Creatures
2012-11-25,24,Beautiful Creatures
2012-12-02,20,Beautiful Creatures
2012-12-09,30,Beautiful Creatures
2012-12-16,33,Beautiful Creatures
2012-12-23,49,Beautiful Creatures
2012-12-30,58,Beautiful Creatures
2013-01-06,100,Beautiful Creatures
2013-01-13,82,Beautiful Creatures
2012-01-08,0,Safe Haven
2012-01-15,6,Safe Haven
2012-01-22,0,Safe Haven
2012-01-29,0,Safe Haven
2012-02-05,3,Safe Haven
2012-02-12,0,Safe Haven
2012-02-19,4,Safe Haven
2012-02-26,3,Safe Haven
2012-03-04,1,Safe Haven
2012-03-11,1,Safe Haven
2012-03-18,4,Safe Haven
2012-03-25,0,Safe Haven
2012-04-01,3,Safe Haven
2012-04-08,3,Safe Haven
2012-04-15,0,Safe Haven
2012-04-22,0,Safe Haven
2012-04-29,0,Safe Haven
2012-05-06,1,Safe Haven
2012-05-13,1,Safe Haven
2012-05-20,0,Safe Haven
2012-05-27,3,Safe Haven
2012-06-03,1,Safe Haven
2012-06-10,1,Safe Haven
2012-06-17,3,Safe Haven
2012-06-24,4,Safe Haven
2012-07-01,3,Safe Haven
2012-07-08,4,Safe Haven
2012-07-15,4,Safe Haven
2012-07-22,4,Safe Haven
2012-07-29,10,Safe Haven
2012-08-05,4,Safe Haven
2012-08-12,4,Safe Haven
2012-08-19,6,Safe Haven
2012-08-26,1,Safe Haven
2012-09-02,4,Safe Haven
2012-09-09,7,Safe Haven
2012-09-16,1,Safe Haven
2012-09-23,3,Safe Haven
2012-09-30,3,Safe Haven
2012-10-07,6,Safe Haven
2012-10-14,1,Safe Haven
2012-10-21,100,Safe Haven
2012-10-28,33,Safe Haven
2012-11-04,21,Safe Haven
2012-11-11,22,Safe Haven
2012-11-18,37,Safe Haven
2012-11-25,50,Safe Haven
2012-12-02,30,Safe Haven
2012-12-09,41,Safe Haven
2012-12-16,35,Safe Haven
2012-12-23,56,Safe Haven
2012-12-30,57,Safe Haven
2013-01-06,58,Safe Haven
2012-01-15,0,Escape from Planet Earth
2012-01-22,0,Escape from Planet Earth
2012-01-29,24,Escape from Planet Earth
2012-02-05,24,Escape from Planet Earth
2012-02-12,0,Escape from Planet Earth
2012-02-19,0,Escape from Planet Earth
2012-02-26,0,Escape from Planet Earth
2012-03-04,0,Escape from Planet Earth
2012-03-11,0,Escape from Planet Earth
2012-03-18,0,Escape from Planet Earth
2012-03-25,0,Escape from Planet Earth
2012-04-01,0,Escape from Planet Earth
2012-04-08,0,Escape from Planet Earth
2012-04-15,0,Escape from Planet Earth
2012-04-22,0,Escape from Planet Earth
2012-04-29,0,Escape from Planet Earth
2012-05-06,0,Escape from Planet Earth
2012-05-13,0,Escape from Planet Earth
2012-05-20,0,Escape from Planet Earth
2012-05-27,0,Escape from Planet Earth
2012-06-03,0,Escape from Planet Earth
2012-06-10,0,Escape from Planet Earth
2012-06-17,0,Escape from Planet Earth
2012-06-24,0,Escape from Planet Earth
2012-07-01,26,Escape from Planet Earth
2012-07-08,0,Escape from Planet Earth
2012-07-15,0,Escape from Planet Earth
2012-07-22,0,Escape from Planet Earth
2012-07-29,0,Escape from Planet Earth
2012-08-05,0,Escape from Planet Earth
2012-08-12,0,Escape from Planet Earth
2012-08-19,24,Escape from Planet Earth
2012-08-26,24,Escape from Planet Earth
2012-09-02,0,Escape from Planet Earth
2012-09-09,0,Escape from Planet Earth
2012-09-16,0,Escape from Planet Earth
2012-09-23,0,Escape from Planet Earth
2012-09-30,23,Escape from Planet Earth
2012-10-07,22,Escape from Planet Earth
2012-10-14,22,Escape from Planet Earth
2012-10-21,0,Escape from Planet Earth
2012-10-28,22,Escape from Planet Earth
2012-11-04,44,Escape from Planet Earth
2012-11-11,22,Escape from Planet Earth
2012-11-18,0,Escape from Planet Earth
2012-11-25,21,Escape from Planet Earth
2012-12-02,0,Escape from Planet Earth
2012-12-09,42,Escape from Planet Earth
2012-12-16,22,Escape from Planet Earth
2012-12-23,100,Escape from Planet Earth
2012-12-30,0,Escape from Planet Earth
2013-01-06,63,Escape from Planet Earth
2013-01-13,41,Escape from Planet Earth
2012-03-11,0,Before Midnight
2012-03-18,0,Before Midnight
2012-03-25,0,Before Midnight
2012-04-01,0,Before Midnight
2012-04-08,0,Before Midnight
2012-04-15,0,Before Midnight
2012-04-22,0,Before Midnight
2012-04-29,0,Before Midnight
2012-05-06,0,Before Midnight
2012-05-13,5,Before Midnight
2012-05-20,0,Before Midnight
2012-05-27,0,Before Midnight
2012-06-03,0,Before Midnight
2012-06-10,0,Before Midnight
2012-06-17,0,Before Midnight
2012-06-24,0,Before Midnight
2012-07-01,0,Before Midnight
2012-07-08,0,Before Midnight
2012-07-15,0,Before Midnight
2012-07-22,5,Before Midnight
2012-07-29,0,Before Midnight
2012-08-05,0,Before Midnight
2012-08-12,0,Before Midnight
2012-08-19,0,Before Midnight
2012-08-26,0,Before Midnight
2012-09-02,5,Before Midnight
2012-09-09,0,Before Midnight
2012-09-16,0,Before Midnight
2012-09-23,0,Before Midnight
2012-09-30,0,Before Midnight
2012-10-07,0,Before Midnight
2012-10-14,0,Before Midnight
2012-10-21,0,Before Midnight
2012-10-28,0,Before Midnight
2012-11-04,0,Before Midnight
2012-11-11,0,Before Midnight
2012-11-18,9,Before Midnight
2012-11-25,0,Before Midnight
2012-12-02,4,Before Midnight
2012-12-09,0,Before Midnight
2012-12-16,0,Before Midnight
2012-12-23,5,Before Midnight
2012-12-30,18,Before Midnight
2013-01-06,16,Before Midnight
2013-01-13,36,Before Midnight
2013-01-20,100,Before Midnight
2013-01-27,31,Before Midnight
2013-02-03,31,Before Midnight
2013-02-10,36,Before Midnight
2013-02-17,8,Before Midnight
2013-02-24,19,Before Midnight
2013-03-03,31,Before Midnight
2012-01-22,0,Snitch
2012-01-29,0,Snitch
2012-02-05,0,Snitch
2012-02-12,0,Snitch
2012-02-19,0,Snitch
2012-02-26,0,Snitch
2012-03-04,0,Snitch
2012-03-11,0,Snitch
2012-03-18,7,Snitch
2012-03-25,7,Snitch
2012-04-01,7,Snitch
2012-04-08,0,Snitch
2012-04-15,0,Snitch
2012-04-22,0,Snitch
2012-04-29,0,Snitch
2012-05-06,0,Snitch
2012-05-13,13,Snitch
2012-05-20,7,Snitch
2012-05-27,7,Snitch
2012-06-03,0,Snitch
2012-06-10,0,Snitch
2012-06-17,13,Snitch
2012-06-24,7,Snitch
2012-07-01,0,Snitch
2012-07-08,0,Snitch
2012-07-15,0,Snitch
2012-07-22,0,Snitch
2012-07-29,7,Snitch
2012-08-05,0,Snitch
2012-08-12,0,Snitch
2012-08-19,0,Snitch
2012-08-26,0,Snitch
2012-09-02,6,Snitch
2012-09-09,0,Snitch
2012-09-16,12,Snitch
2012-09-23,0,Snitch
2012-09-30,0,Snitch
2012-10-07,0,Snitch
2012-10-14,0,Snitch
2012-10-21,0,Snitch
2012-10-28,12,Snitch
2012-11-04,0,Snitch
2012-11-11,12,Snitch
2012-11-18,100,Snitch
2012-11-25,28,Snitch
2012-12-02,45,Snitch
2012-12-09,22,Snitch
2012-12-16,23,Snitch
2012-12-23,20,Snitch
2012-12-30,30,Snitch
2013-01-06,28,Snitch
2013-01-13,38,Snitch
2013-01-20,71,Snitch
2012-01-22,0,Dark Skies
2012-01-29,0,Dark Skies
2012-02-05,0,Dark Skies
2012-02-12,0,Dark Skies
2012-02-19,0,Dark Skies
2012-02-26,0,Dark Skies
2012-03-04,0,Dark Skies
2012-03-11,0,Dark Skies
2012-03-18,0,Dark Skies
2012-03-25,0,Dark Skies
2012-04-01,0,Dark Skies
