title,num_peaks,search_mean,search_volume,budget,genres,original_language,production_companies,production_countries,release_date,runtime,weekend_rev,weekend_rev_mean,num_theaters,success,day,month,holiday,year,log_budget,log_weekend_rev,log_weekend_rev_mean,views,likes,dislikes,dt_main,dt_trailers,dt_trailers_cat,views_proxy,like_score,like_score_proxy,log_views,log_like_score,log_search_mean,log_search_volume,log_views_proxy,log_like_score_proxy
A Monster Calls,3,14.576923076923077,758,43000000,"['Drama', 'Fantasy']",en,"['River Road Entertainment', 'Participant Media', 'Apaches Entertainment', 'La Trini']","['Spain', 'United States of America']",2016-10-07,108.0,30909,7727,4.0,0.0007188139534883721,Fri,Oct,Yes,2016,7.633468455579586,4.49008495454544,3.888010912245029,660178.1428571428,1680.166666666667,296.3333333333333,89,91,pos,178427.0,561198.7400407166,151675.73884813223,5.819661141633691,5.749116687313595,1.1636658619972544,2.8796692056320534,5.251460573491714,11.92950022405713
A Most Violent Year,2,9.150943396226415,485,20000000,"['Crime', 'Drama', 'Thriller']",en,"['Participant Media', 'Imagenation Abu Dhabi FZ', 'FilmNation Entertainment', 'Before the Door Pictures', 'Washington Square Films', 'A24', 'Old Bull Pictures']","['United Arab Emirates', 'United States of America']",2014-12-30,125.0,172788,43197,4.0,0.008639399999999998,Tue,Dec,Yes,2014,7.301029995663981,5.237513577756606,4.635453586428644,617666.0,480.0,18.0,58,0,zero,30079.0,595340.7228915662,28991.807228915663,5.790753695851565,5.774765590467434,0.9614658690014746,2.6857417386022635,4.47826339369816,10.274768559707592
A Most Wanted Man,3,10.596153846153847,551,15000000,['Thriller'],en,"['Senator Film Produktion', 'Lionsgate', 'FilmNation Entertainment', 'Film4', 'Demarest Films', 'The Ink Factory', 'Potboiler Productions', 'Amusement Park Films']","['United Kingdom', 'United States of America', 'Germany']",2014-07-25,121.0,2687227,7444,361.0,0.17914846666666667,Fri,Jul,No,2014,7.176091259055681,6.429304354443351,3.871806364458729,1167579.5,1159.0,132.5,173,84,pos,193842.0,1047792.9852884243,173954.99651567944,6.067286461174629,6.02027548662889,1.025148255216986,2.741151598851785,5.287447882064669,12.066551904028902
A Quiet Passion,3,8.096153846153847,421,8138338,['Drama'],en,"['Indomitable Entertainment', 'Potemkino', 'Hurricane Films']","['Belgium', 'United States of America', 'United Kingdom']",2016-10-07,125.0,45825,7638,6.0,0.005630756550047442,Fri,Oct,Yes,2016,6.910535722932672,4.661102473634254,3.8829796540372987,29932.0,25.0,3.0,299,-70,neg,11401.0,26725.0,10179.464285714286,4.476135736550997,4.426917713880815,0.9082787522008692,2.6242820958356683,4.056942945672877,9.228127664526717
A Tale of Love and Darkness,3,7.150943396226415,379,4000000,['Drama'],he,"['Handsomecharlie Films', 'Ram Bergman Productions']","['United States of America', 'Israel']",2015-09-03,95.0,37170,18585,2.0,0.0092925,Thu,Sep,Yes,2015,6.6020599913279625,4.570192561095727,4.269162565431745,88620.0,161.0,21.0,116,-77,neg,10259.0,78394.61538461539,9075.26923076923,4.947531745695593,4.894286233742368,0.8543633403672832,2.578639209968072,4.01110502981598,9.11330832599538
A Thousand Words,3,11.557692307692308,601,40000000,"['Drama', 'Comedy']",en,"['Paramount Pictures', 'DreamWorks SKG', 'Saturn Films', 'Varsity Pictures']",['United States of America'],2012-03-07,91.0,6176280,3268,1890.0,0.154407,Wed,Mar,No,2012,7.602059991327962,6.79072697639803,3.514282047860378,10924.0,6.0,0.0,122,-84,neg,584.0,10924.0,584.0,4.038381691467696,4.038381691467696,1.0628711283679404,2.7788744720027396,2.7664128471123997,6.369900982828227
ATM,4,10.788461538461538,561,3000000,"['Horror', 'Thriller']",en,"['Buffalo Gal Pictures', 'The Safran Company', 'Gold Circle Films']","['Canada', 'United States of America']",2012-02-17,90.0,2034,1017,2.0,0.000678,Fri,Feb,Yes,2012,6.477121254719663,3.308350948586725,3.0073209529227447,288188.0,309.0,81.0,47,168,pos,25871.0,228333.56923076924,20497.792307692307,5.459675893055749,5.358569765454085,1.0329595176213622,2.748962861256161,4.41281321596387,9.928072467019573
About Cherry,2,5.576923076923077,290,2500000,['Drama'],en,"['Gordon Bijelonic / Datari Turner Films', 'Enderby Entertainment']",['United States of America'],2012-02-14,102.0,2760,920,3.0,0.001104,Tue,Feb,Yes,2012,6.3979400086720375,3.4409090820652177,2.9637878273455556,1368423.0,622.0,154.0,247,-84,neg,139095.0,1096854.518041237,111491.09536082474,6.136220365052004,6.040149028484635,0.7463946542641569,2.462397997898956,5.143311518838648,11.621700004458397
About Last Night,4,19.057692307692307,991,12500000,"['Comedy', 'Romance']",en,"['Screen Gems, Inc.', 'Rainforest Films', 'Olive Bridge Entertainment']",['United States of America'],2014-02-14,100.0,3152469,4910,642.0,0.25219752,Fri,Feb,Yes,2014,7.096910013008057,6.498650824604316,3.6910814921229687,7218219.0,18135.0,713.0,54,0,zero,258821.0,6945161.373355263,249030.0740131579,6.858430054371965,6.84168234118141,1.280070310850476,2.9960736544852753,5.412999510845647,12.425328947322937
Act of Valor,1,14.865384615384615,773,12000000,"['Action', 'Thriller', 'War']",en,"['Relativity Media', 'Bandito Brothers']",['United States of America'],2012-02-24,110.0,24476632,8054,3039.0,2.039719333333333,Fri,Feb,Yes,2012,7.079181246047625,7.388751658389991,3.9060116252714128,44248.0,20.0,0.0,103,0,zero,2002.0,44248.0,2002.0,4.6458936454611095,4.6458936454611095,1.1721761502835257,2.888179493918325,3.3014640731432996,7.601901959875166
Admission,3,18.21153846153846,947,13000000,"['Comedy', 'Drama', 'Romance']",en,['Focus Features'],['United States of America'],2013-03-21,107.0,6154984,2850,2160.0,0.4734603076923077,Thu,Mar,No,2013,7.113943352306838,6.7892269283118925,3.4548448600085098,363916.0,383.0,39.0,53,70,pos,23497.0,330283.95260663505,21325.476303317537,5.561001150279706,5.518887473286655,1.2603466353684742,2.9763499790032735,4.37101241688384,9.96765770755324
All Is Lost,2,6.980769230769231,363,9000000,"['Action', 'Adventure', 'Drama']",en,"['Sudden Storm Productions', 'FilmNation Entertainment', 'Treehouse Pictures', 'Before the Door Pictures', 'Washington Square Films', 'Black Bear Pictures']",['United States of America'],2013-10-18,106.0,93583,15597,6.0,0.010398111111111113,Fri,Oct,Yes,2013,6.954242509439325,4.971196963302861,4.193041072153242,32399.0,20.0,3.0,152,-70,neg,2858.0,28173.043478260868,2485.217391304348,4.510531605849078,4.449833765495466,0.8439032814013133,2.5599066250361124,3.4560622244549513,7.818115416114654
Allegiant,3,21.307692307692307,1108,110000000,"['Adventure', 'Science Fiction']",en,"['Summit Entertainment', 'Lionsgate', 'Mandeville Films', 'Red Wagon Entertainment']",['United States of America'],2016-03-09,121.0,29027348,7761,3740.0,0.2638849818181818,Wed,Mar,No,2016,8.041392685158224,7.462807359580295,3.889917683436206,1757619.125,10072.42857142857,709.5714285714287,178,-63,neg,357142.0,1641948.9048728698,333638.21970479895,6.24492476958199,6.215359638363795,1.3285364167576117,3.044539760392411,5.5528409263497736,12.717812510364807
Aloft,2,3.69811320754717,196,8000000,['Drama'],en,"['Arcadia Motion Pictures', 'Wanda Visión S.A.', 'Buffalo Gal Pictures']","['France', 'United States of America', 'Spain']",2014-02-12,112.0,2116,1058,2.0,0.0002645,Wed,Feb,Yes,2014,6.903089986991943,3.325515663363148,3.024485667699167,40795.0,40.0,6.0,255,-140,neg,6087.0,35473.913043478264,5293.04347826087,4.610606937465461,4.54990909711185,0.567980201755687,2.292256071356476,3.7844033017530085,8.574148686118766
Alone Yet Not Alone,3,8.923076923076923,464,7000000,['History'],en,['Enthuse Entertainment'],['United States of America'],2013-09-01,103.0,125775,11434,11.0,0.017967857142857143,Sun,Sep,Yes,2013,6.845098040014258,5.099594325997786,4.0581981878782525,115845.0,558.0,46.0,350,-182,neg,20603.0,107022.36754966888,19033.89735099338,5.063877293894053,5.0294745542105,0.9505146369200818,2.6665179805548807,4.313930462533462,9.853976739688955
